0.2,0.2,-0.6,1.2,0.3,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.43004,
0.0988706,0.15339,-0.364464,1.36636,0.317598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00912247,
0.0840462,0.111949,-0.512091,1.80979,0.316579,0.00235955,0.00137164,0.00144308,0.00190178,0.000752241,0.00174015,0.00166871,0.00209909,0.00152972,0.00127,0.00084735,0.000596604,0,0,9.01662e-05,
0.0811016,0.100924,-0.636726,2.41244,0.284835,0.00370429,0.0031456,0.00317869,0.00415564,0.00305802,0.0036167,0.00358362,0.00453875,0.00393221,0.00395097,0.00388089,0.00387248,0.0037612,0.00363067,2.18786e-05,
0.0804309,0.101032,-0.713322,2.7133,0.269929,0.00376849,0.00348406,0.00350107,0.0045412,0.00346562,0.00375005,0.00373305,0.0047598,0.00408857,0.0041064,0.00407989,0.0040769,0.00401688,0.00392105,3.00194e-07,
0.0801098,0.100283,-0.768294,2.92673,0.257368,0.00370735,0.00362957,0.00363508,0.0046826,0.0036174,0.00369517,0.00368967,0.00473493,0.00400878,0.0040078,0.00399748,0.00399346,0.00397513,0.00395016,4.15942e-08,
0.080017,0.10007,-0.791046,2.98649,0.252367,0.00369071,0.00367574,0.00367688,0.00472889,0.0036733,0.00368826,0.00368713,0.00473911,0.00400336,0.00400263,0.00400031,0.00399897,0.00399458,0.00398869,1.28611e-09,
0.0800016,0.100005,-0.79882,2.99886,0.25033,0.00368506,0.00368353,0.00368369,0.00473629,0.00368351,0.00368503,0.00368488,0.00473757,0.00400084,0.00400086,0.00400072,0.00400061,0.00400021,0.00399966,3.08456e-11,
0.08,0.1,-0.8,3,0.25,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,
0,0,0,0,0,0.0191781,0.0191781,0.0191781,0.0246575,0.0191781,0.0191781,0.0191781,0.0246575,0.0821918,0.0821918,0.0821918,0.0821918,0.246575,0.246575,
